Designator,Mid X,Mid Y,Rotation,Layer
C1,141.425,-70.6,180.0,top
C10,146.967312,-83.95,90.0,top
C11,149.96,-87.0,90.0,top
C12,147.7,-86.8,90.0,top
C13,146.5,-97.9,270.0,top
C14,149.8,-85.5,0.0,top
C15,140.2,-99.7,270.0,top
C16,145.5,-99.85,90.0,top
C17,143.9,-79.4,180.0,top
C18,147.5,-97.9,270.0,top
C19,151.25,-69.4,90.0,top
C2,143.6,-75.0,270.0,top
C20,149.4,-72.0,0.0,top
C21,146.6,-77.375,90.0,top
C3,140.25,-88.5,180.0,top
C4,139.25,-92.75,135.0,top
C5,145.5,-97.9,270.0,top
C6,150.75,-92.9,0.0,top
C7,149.92,-88.5,0.0,top
C8,148.95,-87.0,90.0,top
C9,147.987312,-83.94,90.0,top
D2,148.0,-80.4,270.0,top
D3,150.0,-80.4,270.0,top
D4,148.0,-105.25,90.0,top
J1,145.0,-64.5,180.0,top
J2,153.89,-87.5,0.0,top
J3,136.11,-87.5,0.0,top
J4,145.0,-111.39,90.0,top
R1,146.9,-70.3,0.0,top
R10,146.5,-80.0,90.0,top
R11,146.4,-72.875,90.0,top
R12,147.5,-71.8,270.0,top
R13,150.8,-71.9,270.0,top
R14,148.25,-103.0,0.0,top
R15,138.5,-71.8,270.0,top
R2,143.9,-70.3,0.0,top
R3,145.7,-86.5,270.0,top
R4,146.7,-86.5,270.0,top
R5,144.0,-97.4,180.0,top
R6,139.6,-79.3,0.0,top
R7,141.3,-87.3,180.0,top
R8,140.4,-102.0,0.0,top
R9,151.5,-80.0,270.0,top
SW1,145.0,-105.25,90.0,top
SW2,141.0,-105.25,270.0,top
U1,149.15,-74.6375,0.0,top
U2,145.0,-92.0,90.0,top
U3,141.75,-82.64,0.0,top
U4,140.96,-73.266,270.0,top
Y1,142.8,-99.75,180.0,top
