Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C21",0603,4,10uF,
"C10, C12, C13, C17, C18, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C11, C14, C20",0402,3,1uF,
"C15, C16",0402,2,33pF,
D2,0603,1,Good Input LED,
D3,0603,1,Charging LED,
D4,0603,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,5.1k,
"R10, R14, R9",0402,3,1.5K,
"R11, R6, R8",0402,3,10K,
R12,0402,1,1.13K,
R13,0402,1,1.18K,
"R15, R5, R7",0402,3,1K,
"R3, R4",0402,2,27,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
TP1,TestPoint_Pad_2.5x2.5mm,1,BAT+,
TP2,TestPoint_Pad_2.5x2.5mm,1,GND,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVPIQ,
U4,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,LD39050PU33R,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_12MHz,
